S/N,Normal,OT,Present,Meal Deduction,Night Meal,Paid Leave,NORMAL RATE ,OT RATE,Night Meal Rate,Paid Leave Rate,SOC COST,TOTAL EARNINGS AND MEAL,SERVICE CHARGE,VAT 7.5%,TOTAL INVOICE,Meal Deduction_1
822,141.93,0,13,0,12,,26611.875,0,3900,0,3500,34011.875,2891.009375,216.8257031,37119.71008,0
823,151.93,0,14,10,14,,28486.875,0,4550,0,3500,36536.875,3105.634375,232.9225781,39875.43195,500
824,160,23.62,23,19,,,30000,4705.5764,0,0,3500,38205.5764,3247.473994,243.5605496,41696.61094,950
825,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
826,160,2.57,15,0,12,,30000,511.9954,3900,0,3500,37911.9954,3222.519609,241.6889707,41376.20398,0
827,143,0,13,8,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,400
828,157.97,0,15,0,14,,29619.375,0,4550,0,3500,37669.375,3201.896875,240.1422656,41111.41414,0
829,88,0,8,8,10,,16500,0,3250,0,3500,23250,1976.25,148.21875,25374.46875,400
830,143,0,13,8,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,400
831,160,21,17,18,6,,30000,4183.62,1950,0,3500,39633.62,3368.8577,252.6643275,43255.14203,900
832,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
833,152.12,0,14,11,14,,28522.5,0,4550,0,3500,36572.5,3108.6625,233.1496875,39914.31219,550
834,160,5,15,17,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,850
835,160,16,16,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
836,151.13,0,14,10,14,,28336.875,0,4550,0,3500,36386.875,3092.884375,231.9663281,39711.7257,500
837,154,0,14,0,10,,28875,0,3250,0,3500,35625,3028.125,227.109375,38880.23438,0
838,154,11,15,10,16,,28875,2191.42,5200,0,3500,39766.42,3380.1457,253.5109275,43400.07663,500
839,96,0,12,16,,,18000,0,0,0,3500,21500,1827.5,137.0625,23464.5625,800
